year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal,First_Name,Last_Name
1992.0,Summer,Badminton,"Singles, Women (Olympic)",Madhumita Bisht,270,IND,,17.0,True,,Madhumita,Bisht
1924.0,Summer,Tennis,"Singles, Women (Olympic)",Nora Polley,271,IND,,9.0,True,,Nora,Polley
1924.0,Summer,Tennis,"Doubles, Mixed (Olympic)",Nora Polley,271,IND,Sydney Jacob,9.0,True,,Nora,Polley
1996.0,Summer,Table Tennis,"Singles, Women (Olympic)",Ambika Radhika,272,IND,,49.0,True,,Ambika,Radhika
1988.0,Summer,Table Tennis,"Singles, Women (Olympic)",Niyati Roy,273,IND,,41.0,True,,Niyati,Roy
1992.0,Summer,Table Tennis,"Singles, Women (Olympic)",Niyati Roy-Shah,273,IND,,33.0,True,,Niyati,Roy-Shah
1988.0,Summer,Tennis,"Singles, Men (Olympic)",Zeeshan Ali,274,IND,,17.0,True,,Zeeshan,Ali
1988.0,Summer,Tennis,"Doubles, Men (Olympic)",Anand Amritraj,275,IND,Vijay Amritraj,9.0,True,,Anand,Amritraj
1988.0,Summer,Tennis,"Singles, Men (Olympic)",Vijay Amritraj,276,IND,,33.0,True,,Vijay,Amritraj
1988.0,Summer,Tennis,"Doubles, Men (Olympic)",Vijay Amritraj,276,IND,Anand Amritraj,9.0,True,,Vijay,Amritraj
1992.0,Summer,Table Tennis,"Singles, Men (Olympic)",Chetan Baboor,277,IND,,49.0,True,,Chetan,Baboor
1996.0,Summer,Table Tennis,"Singles, Men (Olympic)",Chetan Baboor,277,IND,,49.0,True,,Chetan,Baboor
2000.0,Summer,Table Tennis,"Singles, Men (Olympic)",Chetan Baboor,277,IND,,33.0,True,,Chetan,Baboor
2000.0,Summer,Table Tennis,"Doubles, Men (Olympic)",Chetan Baboor,277,IND,Raman Subramanyan,25.0,True,,Chetan,Baboor
1992.0,Summer,Badminton,"Singles, Men (Olympic)",Deepankar Bhattacharya,278,IND,,9.0,True,,Deepankar,Bhattacharya
1992.0,Summer,Badminton,"Doubles, Men (Olympic)",Deepankar Bhattacharya,278,IND,Vimal Kumar,17.0,True,,Deepankar,Bhattacharya
1996.0,Summer,Badminton,"Singles, Men (Olympic)",Deepankar Bhattacharya,278,IND,,17.0,True,,Deepankar,Bhattacharya
1996.0,Summer,Tennis,"Doubles, Men (Olympic)",Mahesh Bhupathi,279,IND,Leander Paes,9.0,True,,Mahesh,Bhupathi
2000.0,Summer,Tennis,"Doubles, Men (Olympic)",Mahesh Bhupathi,279,IND,Leander Paes,9.0,True,,Mahesh,Bhupathi
2004.0,Summer,Tennis,"Doubles, Men (Olympic)",Mahesh Bhupathi,279,IND,Leander Paes,4.0,False,,Mahesh,Bhupathi
2008.0,Summer,Tennis,"Doubles, Men (Olympic)",Mahesh Bhupathi,279,IND,Leander Paes,5.0,True,,Mahesh,Bhupathi
2012.0,Summer,Tennis,"Doubles, Men (Olympic)",Mahesh Bhupathi,279,IND,Rohan Bopanna,9.0,True,,Mahesh,Bhupathi
1924.0,Summer,Tennis,"Singles, Men (Olympic)",Ali Athar Fyzee,280,IND,,33.0,True,,Ali,Athar
1988.0,Summer,Table Tennis,"Singles, Men (Olympic)",Sujay Ghorpade,281,IND,,49.0,True,,Sujay,Ghorpade
1988.0,Summer,Table Tennis,"Doubles, Men (Olympic)",Sujay Ghorpade,281,IND,Kamlesh Mehta,21.0,True,,Sujay,Ghorpade
1992.0,Summer,Table Tennis,"Doubles, Men (Olympic)",Sujay Ghorpade,281,IND,Kamlesh Mehta,25.0,True,,Sujay,Ghorpade
1924.0,Summer,Tennis,"Singles, Men (Olympic)",S. M. Hadi,282,IND,,33.0,True,,S.,M.
1924.0,Summer,Tennis,"Doubles, Men (Olympic)",S. M. Hadi,282,IND,Donald Rutnam,5.0,True,,S.,M.
1924.0,Summer,Tennis,"Singles, Men (Olympic)",Sydney Jacob,283,IND,,5.0,True,,Sydney,Jacob
1924.0,Summer,Tennis,"Doubles, Mixed (Olympic)",Sydney Jacob,283,IND,Nora Polley,9.0,True,,Sydney,Jacob
1924.0,Summer,Tennis,"Doubles, Men (Olympic)",Sydney Jacob,283,IND,Mohammed Sleem,29.0,True,,Sydney,Jacob
1992.0,Summer,Tennis,"Singles, Men (Olympic)",Ramesh Krishnan,284,IND,,33.0,True,,Ramesh,Krishnan
1992.0,Summer,Tennis,"Doubles, Men (Olympic)",Ramesh Krishnan,284,IND,Leander Paes,5.0,True,,Ramesh,Krishnan
1992.0,Summer,Badminton,"Singles, Men (Olympic)",Vimal Kumar,285,IND,,33.0,True,,Vimal,Kumar
1992.0,Summer,Badminton,"Doubles, Men (Olympic)",Vimal Kumar,285,IND,Deepankar Bhattacharya,17.0,True,,Vimal,Kumar
1988.0,Summer,Table Tennis,"Singles, Men (Olympic)",Kamlesh Mehta,286,IND,,25.0,True,,Kamlesh,Mehta
1988.0,Summer,Table Tennis,"Doubles, Men (Olympic)",Kamlesh Mehta,286,IND,Sujay Ghorpade,21.0,True,,Kamlesh,Mehta
1992.0,Summer,Table Tennis,"Singles, Men (Olympic)",Kamlesh Mehta,286,IND,,17.0,True,,Kamlesh,Mehta
1992.0,Summer,Table Tennis,"Doubles, Men (Olympic)",Kamlesh Mehta,286,IND,Sujay Ghorpade,25.0,True,,Kamlesh,Mehta
1992.0,Summer,Tennis,"Singles, Men (Olympic)",Leander Paes,287,IND,,33.0,True,,Leander,Paes
1992.0,Summer,Tennis,"Doubles, Men (Olympic)",Leander Paes,287,IND,Ramesh Krishnan,5.0,True,,Leander,Paes
1996.0,Summer,Tennis,"Singles, Men (Olympic)",Leander Paes,287,IND,,3.0,False,Bronze,Leander,Paes
1996.0,Summer,Tennis,"Doubles, Men (Olympic)",Leander Paes,287,IND,Mahesh Bhupathi,9.0,True,,Leander,Paes
